"Main";"Middle";"Sub";"Main";"Middle";"Sub"
"GENERALES"; ; ;"0";"";""
 ;"SENSORES"; ;"0";"0";""
 ; ;"Nueva dirección de grupo";"0";"0";"1"
 ; ;"Nueva dirección de grupo";"0";"0";"2"
 ; ;"Nueva dirección de grupo";"0";"0";"3"
 ; ;"Nueva dirección de grupo";"0";"0";"4"
 ; ;"Nueva dirección de grupo";"0";"0";"5"
 ; ;"Nueva dirección de grupo";"0";"0";"6"
 ; ;"Nueva dirección de grupo";"0";"0";"7"
 ; ;"Nueva dirección de grupo";"0";"0";"8"
 ; ;"Nueva dirección de grupo";"0";"0";"9"
"ILUMINACION"; ; ;"1";"";""
 ;"GENERAL ILUMINACION"; ;"1";"0";""
 ; ;"BLOQUEO CTOS BAJO MEZANINNE";"1";"0";"0"
 ;"QG.TC.01"; ;"1";"1";""
 ; ;"SW - QGTC01 - TOF - TL ILU - CTO 1 ILU OFICINA 2";"1";"1";"0"
 ; ;"SW - QGTC01 - TOF - TL ILU - CTO 2 ILU OFICINA 1";"1";"1";"1"
 ; ;"SW - QGTC01 - TOF - TL ILU - CTO 3 ILU BANOS";"1";"1";"2"
 ; ;"SW - QGTC01 - TOF - TL ILU - CTO 4 ILU ZONA DE ESPERA";"1";"1";"3"
 ; ;"SW - QGTC01 - TIEZT - TL ILU - CTO 1-2 ILU FACHADA";"1";"1";"4"
 ; ;"SW - QGTC01 - TIEZT - TL ILU - CTO 3-4I LUMINACION FACHADA 2";"1";"1";"5"
 ; ;"SW - QGTC01 - TIEZT - TL ILU - CTO 5-6 RESERVA EQUIPADA";"1";"1";"6"
 ; ;"SW - QGTC01 - TZT - TL ILU - CTO 1-2 ILU PLATAFORMA TECNICA";"1";"1";"7"
 ; ;"SW - QGTC01 - TZT - TL ILU - CTO 3-4 ILU PLATAFORMA TECNICA 2";"1";"1";"8"
 ; ;"SW - QGTC01 - TZT - TL ILU - CTO 5 -6 ILU CUBIERTA";"1";"1";"9"
 ; ;"SW - QGTC01 - TZT - TL ILU - CTO 7-8 ILU CUBIERTA";"1";"1";"10"
 ; ;"SW - QGTC01 - TEL - TL ILU - INVERSOR 1 LACTEOS";"1";"1";"11"
 ; ;"SW - QGTC01 - TEL - TL ILU - INVERSOR 2 LACTEOS";"1";"1";"12"
 ; ;"SW - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"13"
 ; ;"SW - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"14"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 1-2 ILU RACK´S LACTEOS";"1";"1";"15"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 3-4 ILU RACK´S LACTEOS";"1";"1";"16"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 5-6 ILU RACK´S LACTEOS";"1";"1";"17"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 7-8 ILU RACK´S LACTEOS";"1";"1";"18"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 9-10 ILU RACK´S LACTEOS";"1";"1";"19"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 11-12 ILU RACK´S LACTEOS";"1";"1";"20"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 13-14 ILU RACK´S LACTEOS";"1";"1";"21"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 15 - 16ILU RACK´S LACTEOS";"1";"1";"22"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 17-18 ILU PASILLO";"1";"1";"23"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 19 -20 ILU PASILLO";"1";"1";"24"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 21 -22 ILU PALETS LACTEOS";"1";"1";"25"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 23 -24 ILU PALETS LACTEOS";"1";"1";"26"
 ; ;"SW - QGTC01 - TL - TL ILU - CTO 25 -26 ILU RACK´S LACTEOS";"1";"1";"27"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 1-2 ILU CONGELADOS";"1";"1";"28"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 3-4 ILU CONGELADOS";"1";"1";"29"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 5-6 ILU CONGELADOS";"1";"1";"30"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 7-8 ILU CONGELADOS";"1";"1";"31"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 9-10 ILU RACK´S FRUVER";"1";"1";"32"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 11-12 ILU RACK´S FRUVER";"1";"1";"33"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 13-14 ILU RACK´S FRUVER";"1";"1";"34"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 15-16 ILU RACK´S FRUVER";"1";"1";"35"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 17-18 ILU PALETS FRUVER";"1";"1";"36"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 19-20 ILU PALETS FRUVER";"1";"1";"37"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 21-22 ILU PALETS FRUVER";"1";"1";"38"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 23-24 ILU RACK´S FRUVER";"1";"1";"39"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 1-2 INVERSOR 1 FRUVER";"1";"1";"40"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 3-4 INVERSOR 2 FRUVER";"1";"1";"41"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 5 RESERVA EQUIPADA";"1";"1";"42"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 6 RESERVA EQUIPADA";"1";"1";"43"
 ; ;"SW - QGTC01 - TP - TL ILU - CTO 1 ILU OFICINA PORTERIA";"1";"1";"44"
 ; ;"SW - QGTC01 - TP - TL ILU - CTO 2 ILU BANO-PASILLO-TECNICO";"1";"1";"45"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 1-2 ILU EXTERIOR";"1";"1";"46"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 3-4 ILU EXTERIOR";"1";"1";"47"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 5-6 ILU EXTERIOR";"1";"1";"48"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 7-8 ILU EXTERIOR";"1";"1";"49"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 9 ILU EXTERIOR PORTERIA";"1";"1";"50"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 10 ILU EXTERIOR PORTERIA";"1";"1";"51"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 11-12 ALIMENTACION TALANQUERAS";"1";"1";"52"
 ; ;"SW - QGTC01 - TIEP - TL ILU - RESERVA EQUIPADA";"1";"1";"53"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 1 ILU PLANTAS Y SUBESTACION";"1";"1";"54"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 2 ILU PASILLO Y CUARTO TECNICO FRIOS";"1";"1";"55"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 3 ILU CUARTO FRIO INDUSTRIAL";"1";"1";"56"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 4 ILU EMERGENCIA.";"1";"1";"57"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 5 ILU BANOS";"1";"1";"58"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 6 ILU ZONA DE DESCANSO-PASILLOS";"1";"1";"59"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 7 ILU ACCESO Y CUARTO BATERIAS";"1";"1";"60"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 8 ILU BODEGA 1 Y 2";"1";"1";"61"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 9 ILU BODEGA 3";"1";"1";"62"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 10 ILU TUNEL DE FRIO";"1";"1";"63"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 11 ILU CONTENEDORES";"1";"1";"64"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 12 ILU CONTENEDORES";"1";"1";"65"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 1 ILU OFICINA 2";"1";"1";"66"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 2 ILU OFICINA 1";"1";"1";"67"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 3 ILU BANOS";"1";"1";"68"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 4 ILU ZONA DE ESPERA";"1";"1";"69"
 ; ;"RS - QGTC01 - TIEZT - TL ILU - CTO 1-2 ILU FACHADA";"1";"1";"70"
 ; ;"RS - QGTC01 - TIEZT - TL ILU - CTO 3-4I LUMINACION FACHADA 2";"1";"1";"71"
 ; ;"RS - QGTC01 - TIEZT - TL ILU - CTO 5-6 RESERVA EQUIPADA";"1";"1";"72"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 1-2 ILU PLATAFORMA TECNICA";"1";"1";"73"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 3-4 ILU PLATAFORMA TECNICA 2";"1";"1";"74"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 5 -6 ILU CUBIERTA";"1";"1";"75"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 7-8 ILU CUBIERTA";"1";"1";"76"
 ; ;"RS - QGTC01 - TEL - TL ILU - INVERSOR 1 LACTEOS";"1";"1";"77"
 ; ;"RS - QGTC01 - TEL - TL ILU - INVERSOR 2 LACTEOS";"1";"1";"78"
 ; ;"RS - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"79"
